ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,MachineUtilization,DefectStatus
0.113459399,0.545262796,0.866485338,1,0.582678423,0.086363199,0.391304348,0.010143871,0.828927377,0.813234227,0.251973931,0,0.355047731,0.923475842,0.50574348,0.340764948,0.113459399,1
0.483870968,0.985105275,0.863106636,4,0.070883381,0.592387069,0.869565217,0.98213296,0.912219306,0.384862132,0.983025921,7,0.729376359,0.048205589,0.897884806,0.634728594,0.483870968,1
0.956618465,0.93780213,0.821324724,0,0.892386668,0.758759887,0.043478261,0.493053348,0.387131127,0.028854479,0.64097718,2,0.598461712,0.992214939,0.618102743,0.74036833,0.956618465,1
0.300333704,0.043181703,0.873359664,5,0.030640204,0.190527221,0.347826087,0.938927263,0.197075338,0.553315007,0.844447803,8,0.913752782,0.207601037,0.788629056,0.159903118,0.300333704,1
0.117908788,0.164878024,0.819898934,3,0.748601338,0.568142025,0.391304348,0.549459986,0.606492289,0.680482616,0.415699568,7,0.145360018,0.408927174,0.600693827,0.664123706,0.117908788,1
0.078976641,0.131776956,0.953319189,1,0.759004166,0.814225207,0.826086957,0.605625378,0.74133091,0.740708982,0.353852495,7,0.059622904,0.044538735,0.697730155,0.178853772,0.078976641,1
0.778642937,0.726297965,0.99325486,3,0.953415308,0.768247022,0.434782609,0.712159582,0.130709237,0.401923186,0.553135956,8,0.534915246,0.585267408,0.432410193,0.221417905,0.778642937,1
0.022246941,0.818145077,0.994014891,4,0.05400283,0.803002649,0.565217391,0.32090425,0.797722639,0.097003639,0.435208303,3,0.000847872,0.483853336,0.926006189,0.531092592,0.022246941,1
0.68298109,0.21359669,0.97301422,5,0.596988381,0.879359073,0.086956522,0.699220743,0.208470981,0.584333176,0.714992273,4,0.788257285,0.66734369,0.501944665,0.288839354,0.68298109,1
0.134593993,0.50607078,0.92015843,2,0.427890156,0.937736876,0,0.52688827,0.491662349,0.329542741,0.265678658,6,0.506254226,0.543085496,0.551782536,0.66144521,0.134593993,0
0.518353726,0.841073183,0.940173139,3,0.330635416,0.405401521,0.260869565,0.672695118,0.856605905,0.946911138,0.449526744,1,0.488330579,0.398318021,0.524972175,0.955794433,0.518353726,0
0.238042269,0.733122698,0.857041161,0,0.090204523,0.568702971,0.130434783,0.836181644,0.193296417,0.502715042,0.895250642,6,0.362646439,0.7385247,0.316186382,0.148449106,0.238042269,0
0.367074527,0.542471816,0.926154084,1,0.562769059,0.790666116,0.260869565,0.18404613,0.241774939,0.47226756,0.756168948,2,0.375135678,0.024471526,0.23123201,0.570308572,0.367074527,1
0.50945495,0.59060415,0.89112991,0,0.479115131,0.697115754,0.652173913,0.613718022,0.062593496,0.309203439,0.167890764,5,0.431346749,0.541433341,0.073821519,0.92329844,0.50945495,1
0.096774194,0.508579773,0.896403468,3,0.104447322,0.995593958,0.391304348,0.051820586,0.146468259,0.338781792,0.886979344,5,0.015866766,0.113490864,0.718190269,0.176101668,0.096774194,0
0.413793103,0.297671939,0.951555312,5,0.612628605,0.013429597,0.608695652,0.101865124,0.146379934,0.512758186,0.589009314,5,0.083441793,0.436218506,0.289271425,0.366532309,0.413793103,1
0.110122358,0.565266951,0.856383671,2,0.73815304,0.354997068,0.652173913,0.674811129,0.203303203,0.306658583,0.679316819,9,0.505328514,0.791991979,0.389198581,0.123159302,0.110122358,1
0.968854283,0.689186511,0.863607922,2,0.767492437,0.280867492,0.217391304,0.070662262,0.2861075,0.892325994,0.294128762,1,0.150079001,0.14212825,0.919952446,0.641876315,0.968854283,1
0.737486096,0.873707885,0.984928358,0,0.905654269,0.262149283,0.130434783,0.595510055,0.815091076,0.439017895,0.441476686,8,0.779292781,0.936944484,0.566455871,0.668997007,0.737486096,1
0.144605117,0.636568678,0.811244859,4,0.409511422,0.222350176,0.130434783,0.21985878,0.915909809,0.292015189,0.80689426,7,0.274555352,0.889551376,0.097065656,0.664033565,0.144605117,1
0.735261402,0.761455551,0.89712686,4,0.953376973,0.709103708,1,0.303999571,0.406233268,0.155381564,0.330563307,6,0.097808737,0.415076231,0.799630831,0.541908574,0.735261402,1
0.342602892,0.160132689,0.98256016,5,0.865691122,0.084534715,0.956521739,0.129408981,0.128056117,0.672361574,0.164880984,8,0.235244278,0.005390029,0.256125283,0.746158998,0.342602892,1
0.855394883,0.461755445,0.922072602,2,0.296487486,0.741599348,0.130434783,0.248537035,0.223693359,0.025767627,0.378211477,3,0.357243767,0.790608937,0.552713751,0.035369645,0.855394883,1
0.381535039,0.009324218,0.909281415,0,0.159202433,0.693400565,0.913043478,0.82162831,0.736283802,0.449996262,0.068998846,1,0.035168621,0.881928421,0.509987478,0.957532289,0.381535039,1
0.546162403,0.246779251,0.849948836,0,0.435442641,0.250633793,0.913043478,0.639066172,0.677481044,0.550126966,0.717901865,3,0.141624555,0.174465266,0.238072721,0.221694928,0.546162403,1
0.459399333,0.726779989,0.868655098,0,0.401935717,0.252664108,0.695652174,0.950201085,0.967372763,0.339779944,0.147558197,9,0.323961959,0.917290077,0.11575946,0.121103262,0.459399333,1
0.895439377,0.99224873,0.970409683,3,0.575840578,0.628814148,0.52173913,0.048451367,0.014292703,0.749832209,0.28499437,2,0.310583486,0.915191273,0.21125429,0.941145489,0.895439377,1
0.428253615,0.0992115,0.911843626,5,0.583511222,0.762168358,0.043478261,0.792724971,0.750842106,0.675671499,0.881193155,1,0.800936594,0.471566249,0.097325403,0.83038313,0.428253615,1
0.212458287,0.40166501,0.902948439,4,0.750192738,0.876520331,0.826086957,0.699314042,0.505784012,0.971423787,0.540470543,1,0.843844477,0.798914246,0.275623572,0.76477918,0.212458287,1
0.307007786,0.800422671,0.819915943,4,0.509979309,0.852166303,0.217391304,0.260771824,0.902833964,0.508770016,0.321221711,7,0.193414829,0.445174677,0.997325244,0.104277396,0.307007786,0
0.177975528,0.204116655,0.803205631,3,0.104715635,0.964946683,0.913043478,0.7294281,0.576183784,0.537816936,0.547642706,4,0.123872737,0.564493137,0.402093458,0.807462342,0.177975528,1
0.510567297,0.555325394,0.992737038,1,0.858549592,0.581322898,0,0.716799657,0.446635705,0.245830269,0.218118788,5,0.634560755,0.319834425,0.863910176,0.608843261,0.510567297,1
0.348164627,0.733392571,0.875397233,3,0.309756928,0.908700822,0.304347826,0.45938656,0.665901743,0.385481356,0.024935298,7,0.805177318,0.159168292,0.549185443,0.731798543,0.348164627,0
0.023359288,0.616253552,0.920642612,5,0.971610499,0.808525714,0.739130435,0.688867966,0.833638187,0.026841325,0.60373122,6,0.964421988,0.747320817,0.666596066,0.978100823,0.023359288,1
0.280311457,0.188098484,0.815943015,0,0.117759423,0.894708301,0.869565217,0.44461022,0.282404249,0.689286426,0.714169814,6,0.006622281,0.000799562,0.156338204,0.1940241,0.280311457,1
0.830923248,0.355534322,0.936622857,3,0.958557887,0.011377875,0.130434783,0.335485994,0.107366362,0.311616819,0.879893383,6,0.413875261,0.580028227,0.274801384,0.504141926,0.830923248,1
0.952169077,0.784136094,0.986513342,0,0.090898106,0.965967015,0.173913043,0.466538145,0.432980921,0.5403717,0.771950859,6,0.734477164,0.865688677,0.510449447,0.753254128,0.952169077,1
0.622914349,0.554466569,0.915133051,5,0.230990317,0.473432818,0.173913043,0.895526221,0.214399782,0.254983774,0.926808494,7,0.829134895,0.221090495,0.881165988,0.433375917,0.622914349,0
0.527252503,0.005220348,0.825223064,5,0.046444702,0.798192045,0.608695652,0.384564182,0.429502659,0.621044654,0.986108507,0,0.062162562,0.332919016,0.042873211,0.054156156,0.527252503,1
0.064516129,0.761324715,0.916344305,2,0.705297146,0.126993271,0.391304348,0.403684146,0.991222679,0.447582855,0.744991927,2,0.681055163,0.587976056,0.506925827,0.110974409,0.064516129,1
0.567296997,0.035315751,0.953269443,0,0.850553118,0.395818322,0.304347826,0.608566142,0.574138428,0.481862613,0.86803007,0,0.28902208,0.246730768,0.05099775,0.601907752,0.567296997,1
0.757508343,0.746060808,0.881283307,4,0.434123687,0.271297093,0.260869565,0.753280308,0.693661884,0.942630596,0.673758867,7,0.074484802,0.848457713,0.45682631,0.2846388,0.757508343,1
0.52836485,0.202560874,0.97596755,3,0.928814378,0.29150182,0.47826087,0.734886705,0.677984138,0.706172748,0.170759563,1,0.489368531,0.366685033,0.628879464,0.137391239,0.52836485,1
0.77753059,0.958496937,0.929736591,5,0.590427412,0.123043478,0.434782609,0.019481637,0.820810716,0.261891435,0.181528599,6,0.158117405,0.582093067,0.744739662,0.339558004,0.77753059,1
0.869855395,0.368096207,0.979849784,0,0.630154726,0.805775372,0.52173913,0.687642681,0.944285305,0.503924808,0.110056416,5,0.737499602,0.225943311,0.138521446,0.20056759,0.869855395,1
0.210233593,0.327068448,0.924701062,1,0.845671218,0.008992806,0.608695652,0.450588236,0.658866564,0.466674072,0.943112178,0,0.741757764,0.040866989,0.166565974,0.023424996,0.210233593,1
0.763070078,0.148944026,0.826257594,2,0.296786265,0.312355339,0.695652174,0.524184124,0.476073789,0.795069179,0.672778661,5,0.842655683,0.173425521,0.470069145,0.151372562,0.763070078,1
0.625139043,0.305731362,0.861938342,1,0.354279639,0.174215166,0.913043478,0.561788135,0.31775005,0.833373473,0.78998462,8,0.377732894,0.045688486,0.998064224,0.883054243,0.625139043,1
0.973303671,0.877037242,0.84035899,5,0.90623328,0.588979452,0.913043478,0.731983096,0.360209505,0.283435527,0.331044622,2,0.013141735,0.46887433,0.356045975,0.011516013,0.973303671,1
0.629588432,0.996775171,0.9817653,1,0.901242439,0.254083193,0.739130435,0.831677697,0.334406028,0.821169244,0.460361852,6,0.259792662,0.587126025,0.427529754,0.773764194,0.629588432,1
0.270300334,0.368465154,0.952080013,1,0.976798329,0.2588308,0.304347826,0.646454732,0.324387111,0.179489261,0.039547673,3,0.468058227,0.044161939,0.432449289,0.753363349,0.270300334,1
0.9243604,0.448802722,0.935279674,2,0.902117683,0.488245652,0.217391304,0.564033848,0.694687054,0.762785621,0.889122791,0,0.694464143,0.090053635,0.080687683,0.564031844,0.9243604,1
0.560622914,0.722387218,0.860193264,2,0.127275962,0.652650411,0.434782609,0.373740825,0.587730518,0.248775631,0.853104098,6,0.382208874,0.485826739,0.774189929,0.208038689,0.560622914,0
0.144605117,0.886586595,0.836808954,2,0.823965785,0.121091923,0.347826087,0.13765742,0.201870203,0.297924538,0.784884119,0,0.536357168,0.800061485,0.253096073,0.87803264,0.144605117,1
0.538375973,0.593302018,0.951290218,2,0.409879336,0.175316436,0.173913043,0.959026163,0.969792398,0.852487091,0.058077782,3,0.52456161,0.628574295,0.703681697,0.474818794,0.538375973,1
0.909899889,0.391691865,0.894831589,1,0.99112385,0.247003215,0.260869565,0.461885686,0.42768631,0.420073944,0.174072861,8,0.164952641,0.104307936,0.475094327,0.172777022,0.909899889,1
